City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Puerto Colombia,CO,10.99,-74.95,75.2,100,75,2.24,broken clouds
120,Asgabat,TM,37.95,58.38,55.4,43,7,4.7,clear sky
121,Qaanaaq,GL,77.48,-69.36,2.79,74,0,6.44,clear sky
122,Cairns,AU,-16.92,145.77,89.01,48,40,9.17,scattered clouds
123,Komsomolets,KZ,53.75,62.07,27.64,97,56,3.56,broken clouds
124,Severo-Kurilsk,RU,50.68,156.12,43.99,72,24,8.61,few clouds
125,Cidreira,BR,-30.18,-50.21,61.99,66,3,6.73,clear sky
126,Hofn,IS,64.25,-15.21,36.9,74,0,16.8,clear sky
127,Kodiak,US,57.79,-152.41,30.2,33,20,13.87,few clouds
128,Antigonish,CA,45.62,-62.0,51.01,84,100,7.0,overcast clouds
129,Fairbanks,US,64.84,-147.72,3.0,77,20,1.3,few clouds
130,Samarai,PG,-10.62,150.67,83.5,75,42,9.08,light rain
131,Vestmannaeyjar,IS,63.44,-20.27,38.08,74,1,18.72,clear sky
132,Santa Lucia,ES,27.91,-15.54,72.0,68,20,19.46,few clouds
133,Aksu,CN,41.12,80.26,34.97,74,0,0.83,clear sky
134,Port Alfred,ZA,-33.59,26.89,64.45,83,42,17.0,scattered clouds
135,Bumba,CD,2.18,22.47,70.45,95,100,2.1,overcast clouds
136,Bjornevatn,NO,69.67,29.98,39.2,93,90,26.4,overcast clouds
137,Lorengau,PG,-2.02,147.27,87.31,64,22,5.28,few clouds
138,Rakaia,NZ,-43.75,172.02,55.0,79,100,5.01,overcast clouds
139,Wageningen,NL,51.97,5.67,64.0,100,90,19.46,overcast clouds
140,Karratha,AU,-20.74,116.85,77.83,53,55,11.92,broken clouds
141,Luderitz,NA,-26.65,15.16,62.46,63,100,8.12,overcast clouds
142,Grand-Santi,GF,4.25,-54.38,74.79,96,100,2.24,overcast clouds
143,Shimoda,JP,34.67,138.95,68.0,82,75,17.22,broken clouds
144,Hasaki,JP,35.73,140.83,64.4,88,75,3.36,broken clouds
145,Weihe,CN,33.0,105.32,50.11,46,60,4.14,broken clouds
146,Itoman,JP,26.12,127.67,78.8,69,20,8.05,few clouds
147,Pevek,RU,69.7,170.31,14.47,94,100,8.79,overcast clouds
148,Tiksi,RU,71.69,128.87,-4.95,90,0,7.02,clear sky
149,Portland,US,45.52,-122.68,62.6,39,1,12.75,clear sky
150,Nanortalik,GL,60.14,-45.24,31.73,88,0,41.45,clear sky
151,Asau,RO,46.43,26.4,39.0,87,7,5.7,clear sky
152,Lanzhou,CN,36.06,103.79,42.01,45,73,1.63,broken clouds
